LG_State_Code,State_Name,Registration_count,Last_Updated
1,JAMMU AND KASHMIR,3378579,23-02-2023
2,HIMACHAL PRADESH,1923672,23-02-2023
3,PUNJAB,5496777,23-02-2023
4,CHANDIGARH,174112,23-02-2023
5,UTTARAKHAND,2972426,23-02-2023
6,HARYANA,5256673,23-02-2023
7,DELHI,3252212,23-02-2023
8,RAJASTHAN,12807531,23-02-2023
9,UTTAR PRADESH,83016088,23-02-2023
10,BIHAR,28567740,23-02-2023
11,SIKKIM,24436,23-02-2023
12,ARUNACHAL PRADESH,140631,23-02-2023
13,NAGALAND,218681,23-02-2023
14,MANIPUR,405133,23-02-2023
15,MIZORAM,58273,23-02-2023
16,TRIPURA,844623,23-02-2023
17,MEGHALAYA,288838,23-02-2023
18,ASSAM,6933160,23-02-2023
19,WEST BENGAL,25799359,23-02-2023
20,JHARKHAND,9146955,23-02-2023
21,ODISHA,13329013,23-02-2023
22,CHHATTISGARH,8261290,23-02-2023
23,MADHYA PRADESH,16908003,23-02-2023
24,GUJARAT,9194538,23-02-2023
27,MAHARASHTRA,13483977,23-02-2023
28,ANDHRA PRADESH,7931078,23-02-2023
29,KARNATAKA,7469830,23-02-2023
30,GOA,57350,23-02-2023
31,LAKSHADWEEP,2433,23-02-2023
32,KERALA,5904331,23-02-2023
33,TAMIL NADU,8378398,23-02-2023
34,PONDICHERRY,176464,23-02-2023
35,ANDAMAN AND NICOBAR ISLANDS,28497,23-02-2023
36,TELANGANA,4106653,23-02-2023
37,LADAKH,28901,23-02-2023
38,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,72866,23-02-2023
